,Artist,Total Views,Total de Inscritos,Avg
513,(G)I-DLE,"1,797.7",700.0,1.66
534,2 Chainz,"1,728.7",500.0,0.28
224,21 Savage,"3,741.6",800.0,1.10
894,25hours,929.3,100.0,0.15
562,2CELLOS,"1,619.4",100.0,0.33
418,2NE1,"2,166.1",200.0,0.23
736,2Pac,"1,183.2",300.0,0.38
557,3 Doors Down,"1,641.7",300.0,0.40
969,365 DaBand,819.0,100.0,0.10
1362,3OH!3,409.4,100.0,0.03
602,4 Non Blondes,"1,479.9",100.0,0.56
612,4Minute,"1,428.6",400.0,0.13
357,5 Seconds of Summer,"2,537.0",500.0,0.38
80,50 Cent,"8,010.8",1500.0,2.61
91,6ix9ine,"7,164.4",1400.0,0.96
413,A Boogie wit da Hoodie,"2,191.1",300.0,0.67
1048,A Great Big World,719.5,100.0,0.13
346,A$AP Rocky,"2,599.5",400.0,0.70
1312,A.R. Rahman,455.7,100.0,0.07
1015,AAA,764.6,200.0,0.07
111,AC/DC,"6,536.9",1300.0,1.75
457,AKB48,"1,984.4",200.0,0.20
1149,AWOLNATION,610.2,100.0,0.11
1364,Aastha Gill,404.9,100.0,0.13
291,Abba,"3,045.9",700.0,1.32
613,Abel Pintos,"1,428.1",100.0,0.35
524,Abraham Mateo,"1,760.9",300.0,0.41
896,Abu,925.7,100.0,0.23
1114,Ace Hood,650.0,100.0,0.08
1110,Ace of Base,653.6,300.0,0.28
1113,Adam Lambert,650.7,200.0,0.19
37,Adele,"12,329.6",1700.0,2.60
189,Adexe & Nau,"4,462.8",800.0,0.42
325,Aerosmith,"2,761.6",500.0,0.87
578,Afrojack,"1,572.9",300.0,0.10
1499,Afroman,280.8,100.0,0.11
1523,After School,261.1,100.0,0.08
1201,Ahmed Chawki,556.1,200.0,0.07
1242,Ailee,518.8,100.0,0.09
787,Aitana,"1,085.0",400.0,0.63
1315,Akcent,451.1,100.0,0.03
651,Akcent (Romania),"1,362.6",100.0,0.22
161,Akon,"5,107.6",900.0,1.82
36,Alan Walker,"12,329.8",1800.0,2.47
1148,Alanis Morissette,610.7,100.0,0.17
769,Alec Benjamin,"1,125.4",100.0,0.58
665,Alejandra Guzmán,"1,328.4",300.0,0.23
228,Alejandro Fernández,"3,719.5",600.0,1.12
280,Alejandro Sanz,"3,183.5",500.0,0.68
491,Alemán,"1,875.1",300.0,1.05
1028,Alessandra Amoroso,749.1,100.0,0.16
624,Alessia Cara,"1,409.4",400.0,0.21
814,Alesso,"1,055.4",200.0,0.17
865,Alex Campos,991.2,100.0,0.48
1568,Alex Mica,217.4,100.0,0.02
303,Alex Rose,"2,917.0",600.0,1.06
883,Alex Sensation,952.2,200.0,0.18
603,Alexandra Stan,"1,476.0",500.0,0.24
1172,Alexio La Bestia,587.5,200.0,0.24
680,Alexis y Fido,"1,291.7",300.0,0.51
824,Aleyna Tilki,"1,045.0",300.0,0.09
1416,Alice Cooper,358.0,100.0,0.08
1419,Alice Merton,357.1,100.0,0.08
288,Alicia Keys,"3,101.6",600.0,0.74
1461,Alien Ant Farm,311.5,100.0,0.11
402,Alka Yagnik,"2,241.6",600.0,0.70
796,Alkilados,"1,077.3",400.0,0.18
521,Alok,"1,773.2",200.0,0.64
855,Alonzo,"1,003.3",200.0,0.10
957,Altamash Faridi,831.9,100.0,0.20
488,Alvaro Soler,"1,886.6",400.0,0.31
735,Amenazzy,"1,191.0",100.0,0.53
1401,American Authors,369.2,100.0,0.05
1210,Aminé,548.3,100.0,0.06
1276,Amir,488.8,200.0,0.14
779,Amit Kumar,"1,111.8",200.0,0.24
1151,Amit Mishra,608.6,200.0,0.06
349,Amr Diab,"2,584.4",300.0,0.41
1438,Amy Macdonald,340.6,100.0,0.12
438,Amy Winehouse,"2,049.1",400.0,0.68
921,Ana Carolina,885.6,200.0,0.25
807,Anavitória,"1,067.6",300.0,0.24
1322,Anaïs Delva,447.9,100.0,0.05
451,Andra,"1,998.5",400.0,0.20
448,Andrea Bocelli,"2,013.5",400.0,0.69
1287,Andreas Gabalier,481.8,100.0,0.07
718,Andrés Cepeda,"1,227.4",300.0,0.27
1054,Andy & Lucas,703.8,200.0,0.23
591,Andy Rivera,"1,527.0",300.0,0.58
89,Anitta,"7,278.0",2200.0,1.72
343,Ankush Raja,"2,625.1",600.0,1.23
1121,Anna Kendrick,642.8,100.0,0.04
362,Anne-Marie,"2,514.7",600.0,0.93
39,Anuel AA,"12,111.8",2300.0,7.47
642,Aqua,"1,377.2",100.0,0.54
515,Arash,"1,790.6",400.0,0.57
98,Arcangel,"7,017.4",1400.0,4.78
255,Arctic Monkeys,"3,433.4",600.0,1.03
9,Ariana Grande,"20,618.5",3700.0,3.37
251,Ariel Camacho y Los Plebes Del Rancho,"3,502.8",800.0,0.58
